AKST,Temperatura (°C),Temperatura máxima (°C),Temperatura mínima (°C),Humedad relativa (%),Velocidad del Viento (km/h) (2011-2020),Nubosidad total (octavos),Precipitación (mm),Frecuencia de días con Precipitación superior a 1.0 mm
Ene,26.9,33,21.6,71.6,11.6,3.5,179.5,7.6
Feb,26.1,32,21.1,74.1,11.4,3.6,152.2,7.3
Mar,24.5,30.5,19.7,76.6,11.2,3.3,155.2,7.1
Abr,21.6,27.3,17.2,78.8,10.3,3.6,170.8,7.2
May,18,23.4,13.7,80.3,10.7,3.9,87.8,5.5
Jun,16.1,21.4,12,80.4,10.7,4.3,65.3,4.5
Jul,15.2,21.2,10.4,75.2,11.2,3.7,32.2,3.6
Ago,17.1,23.8,11.6,70,13.7,3.2,40.3,3.1
Sep,19.1,25.8,13.6,68.5,13.8,3.6,60.3,5.2
Oct,22.1,28.1,16.8,72.1,14.5,3.8,153.8,8.3
Nov,23.8,29.7,18,70.7,13,3.2,184.8,8.1
Dic,26,31.9,20.5,71.2,12.2,3.5,172.9,7.6